,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Founded,Type of ownership,Industry,Sector,Revenue,Competitors
0,Social Media Marketing Analyst,-1,"Social Media Marketing Analyst


JOB DESCRIPTION

When scrolling through your social media feed, are you ever surprised at how timely and relevant the sponsored advertisements are? Have you ever wondered how those ads are created and why you were targeted for that specific campaign? Social Media platforms allow a unique window into the lives of consumers; you will be able to meet consumers where they are and help our clients grow their businesses by creating eye-catching, interesting, timely, and relevant suggestions of retail products for consumers to purchase.

Our Social Media Team constructs, manages, optimizes, and reports the performance of the sponsored ads that users see while browsing platforms such as Facebook, Instagram, Pinterest, and Snapchat. Our team has an immediate opening for a smart, creative, and proactive team player to create, manage and optimize successful Social Media Paid Advertising Campaigns for a portfolio of clients.

If you are searching for a position in paid social media digital marketing where you can showcase your strong analytical and creative skills, this may be the position for you!

ESSENTIAL RESPONSIBILITIES
Analyze the performance of all social media platforms (Facebook, Instagram, Pinterest, and Snapchat) by translating quantitative and qualitative data into comprehensible recommendations for the campaign strategy.
Implement successful bidding strategies for target audiences.
Use statistical analysis to draw conclusions about advertising campaigns and make changes accordingly.
Produce creative and eye-catching Facebook, Instagram, Pinterest, and Snapchat advertisements (i.e. writing text, headlines and news feed link descriptions) in order to drive qualified visitors to clients’ websites.
Meet clients’ goals and expectations by performing ad creative testing and audience analysis.
Communicate with clients on a regular basis to keep them in the know about timelines, budgets, reporting, and analysis.
Present data analysis to clients via Google Slides and Google Data Studio.
Continually monitor, revise and optimize advertising campaigns as necessary.
Perform other duties as assigned by the Social Media Advertising Team Lead.

ESSENTIAL QUALIFICATIONS
Bachelor’s degree in Business, Marketing, Economics, Statistics or a related field from an accredited university
2 years of previous experience managing paid social media campaigns
High level of proficiency in Excel
Intense intellectual curiosity, proven leadership experience, and excellent organization and prioritization skills
Agency experience preferred",3.8,"ROI Revolution
3.8","Raleigh, NC","Raleigh, NC",51 to 200 employees,2002,Company - Private,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
1,Paid Media Analyst,-1,"As a Paid Media Analyst, you will be a critical member of our team responsible for managing paid search account activities including regular reporting, data & profitability analysis, campaign testing & flawless execution of day-to-day tasks. Executing on a paid search account, the candidate is expected to be able to think analytically and optimize our paid media campaigns across a robust mix of digital channels including, but not limited to, video, mobile, display, and social to drive awareness and engagement for the business. As we work in a variety of industries, our interview process is designed to determine the right placement for our candidates as we are looking for talent across a variety of different teams.

What You'll Do:
Create and execute innovative paid search campaigns
Reporting and analyzing paid digital marketing campaigns across a variety of platforms including Facebook, Twitter, native channels, fixed fee buys, sponsored emails, etc.
Internal communication on analysis of campaigns to stakeholders up and down the organization.
Day-to-day account management including campaign optimization, audience creation, budget management, and testing ideation and execution.
Strategizing and coordinating with design and content teams to develop assets for paid execution.
What We're Looking For:
1-3 years working in a digital marketing role, ideally on paid marketing execution.
Experience in Google Analytics, Facebook Power Editor, Excel and SQL – a plus – building and maintaining campaigns with strategic organization.
Experience working within a complex scope of paid digital marketing including: campaign planning and execution in multiple platforms, audience identification and targeting, ad creative ideation and production, bid/budget management and strategy, and measurement/results analyses.
Data-driven marketers with superior analytical and quantitative skills who think creatively to decide testing methodologies and optimize campaigns to deliver results.
Strong problem solving and analytical skills.
Self-starter with willingness to drive the business forward and take real ownership of tasks, tactics and strategy.
Strong team player with ability to communicate effectively across a plethora of functional roles.
Consistency in bringing new ideas to the table and always being willing to evolve and adapt.
Who We Are:

Founded in 2000, Red Ventures is a portfolio of growing digital businesses that bring consumers and brands together through integrated e-commerce, strategic partnerships and many proprietary brands including Bankrate, AllConnect.com and Reviews.com. Headquartered south of Charlotte, NC, Red Ventures has over 3000 employees in offices across the US, as well as London and Sao Paulo. For more information, visit www.redventures.com.

At Red Ventures we believe that diversity makes us stronger - at work and in the world. Red Ventures is an equal opportunity employer that does not discriminate against any employee or applicant because of race, creed, color, religion, gender, sexual orientation, gender identity/expression, national origin, disability, age, genetic information, veteran status, marital status, pregnancy or any other basis protected by law. Employment at Red Ventures is based solely on a person's merit and qualifications.",3.2,"Red Ventures
3.2","Charlotte, NC","Fort Mill, SC",1001 to 5000 employees,2000,Company - Private,Advertising & Marketing,Business Services,$1 to $2 billion (USD),"Clearlink, Credit Karma, LendingTree"
2,Paid Social Media Analyst,-1,"At Wildfire, our Strategy team is structured to oversee all communications planning, consumer insights, research, strategic planning, and media projects. We believe that bringing disciplines together into a tight-knit, efficient group leads to a more holistic approach to the process and drives truly effective and breakthrough work. Social Media is an integral part of the Strategy team, and Wildfire’s Digital Influence capability as a whole.

Wildfire is seeking a data-driven, energetic, and innovative Paid Social Media Analyst contributing to all things social – working closely with the creative team and communication/paid media strategists to build engaging communities on social media platforms. You’ll report to the Digital Media Strategist and support a wide variety of Clients across categories and budget levels. The ideal candidate will assist in developing strategic social media solutions as well as manage the tactical execution and results of social media campaigns (organic and paid), monitoring results and effectiveness & optimizing on areas of opportunity.

We are looking for someone who is passionate about new and emerging trends and innovation in the social media space. The right candidate will thrive in a creative and entrepreneurial environment and use their own inherent creativity to solve problems.

Responsibilities:
Develop a deep and comprehensive understanding of Clients’ businesses and their social media presence, across multiple industries and ad
Assist in meeting client business objectives via execution of social media ad delivery primarily across Facebook, Instagram, YouTube, LinkedIn.
Coordinate inputs from representatives across multiple agency disciplines to use in evaluation of Client social media accounts & execution of strategic paid social media plans/recommendations.
Assist Digital Media Strategist in authoring and presenting social media advertising strategies for clients.
Maintain pulse and deep understanding of audience buying tactics & bidding strategies for paid campaigns across social media platforms.
Primary party responsible for communication of all social media campaign components prior to launch (working closely with internal account & creative teams).
Execute and moderate social media campaigns across platforms.
Analyze & recommend campaign adjustments based on performance trends and KPIs.
Assist in developing flighting of ad messaging & tactical execution across various social media platforms, per recommendations in approved communications plans or media plans.
Author campaign reports on social channel activity, including analysis of content and results as well as suggested optimizations moving forward. Communicate campaign successes, failures, and optimizations for future campaigns to both internal team and
Track and reconcile paid social flighting, budgets, and expenses by channel and
Manage social media communities for Clients with active social media campaigns- manage responses & engagement with online communities in an authentic, genuine way on behalf of various Clients and in accordance to established community management guidelines.
Proactively self-educate regarding new social media opportunities (targeting, features, trends) and channels to improve Clients’ businesses.
Become the agency expert on social channel strategies, best practices, and consumer behavior within social platforms. Actively contribute to overall account strategy, including analyzing performance against KPIs, new tactics, and tracking industry developments.
Contribute to development of agency level or client-level POVs relating to industry happenings in the social media space.
Occasionally contribute and assist in new business pitches/materials relating to social media, as needed.
Participate in agency-level professional development trainings, and all trainings related specifically to social media or digital media.
Requirements/Qualifications:
Please provide a link to your personal social media presence on your resume, or sample portfolio work of social media content.
Bachelor’s Degree, preferably in a communications, media, or advertising-focused area.
1-2+ years’ experience in paid social media or community management. Prior workplace experience in a digital agency a plus.
Active user and participant on social media platforms and their analytics. Deep experience with Facebook, Instagram, YouTube and LinkedIn with an understanding of platform trends.
Understanding of pay-per-click principles related to paid social. Knowledge of how to (re)structure campaigns to optimize performance and drive down CPA.
Prior experience with content creation & management online (i.e. social platforms, online communities, websites) preferred.
Strong Microsoft Office skill (Word, Excel, Powerpoint) & Google Suite products (Google Docs, Google Slides, Google Calendar).
Experience in a social media management tool (Hootsuite, Sprout Social, etc) preferred.
Experience in Google DataStudio or Google Tag Manager a plus.
Wildfire, LLC is an equal opportunity employer.",3.9,"Wildfire
3.9","Winston-Salem, NC","Winston Salem, NC",1 to 50 employees,-1,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),-1
3,2020 Summer Internship - Data Analyst,-1,"More than a career - a chance to make a difference in people's lives.


Build an exciting, rewarding career with us – help us make a difference for millions of people every day. Consider joining the Duke Energy team, where you'll find a friendly work environment, opportunities for growth and development, recognition for your work, and competitive pay and benefits.

Position Summary

The Data Analyst Internship is Duke Energy’s premier technical development summer internship position for the high-potential, presently enrolled college student seeking to increase their knowledge foundation and skills in the fields of data analytics and data science at the country’s largest electric power holding company. This internship position will assist in the candidate’s respective academia and future career.

The Data Analyst Summer Internship will take place in Duke Energy’s Enterprise Data Analytics organization. This intern will experience complex intellectual challenges, participate on and be responsible for a variety of compelling business and technical ventures, and gain on-the-job experience in the areas of process improvement, analysis, and numerous technological tools, platforms, applications, and systems. Successful interns will gain familiarity with the organization and the company’s business operations by networking with other Interns and more senior level employees, as well as honing their own skills for future, practical application.

Basic Qualifications
Cumulative GPA of 2.75 or higher
Enrolled in a bachelor’s degree program as a rising Junior or Senior
Enrolled in an IT, Data Analytics or related major, such as Computer Science, Data Engineering, or Data Science. Two or fewer years of full-time IT or data related work experience
Desired Qualifications
Exposure to or familiarity with web application design and development, data management and analytics, and customer experience analysis
Cumulative GPA of 3.0 or higher
Exposure to or familiarity with database design principles, SQL, Java script, web development and Google Analytics
Exposure to or familiarity with Python, R, SAS, Microsoft BI suite, Microsoft Office applications
Leadership potential or skills displayed through extracurricular activities (e.g., intramurals, boy/girl scouts, clubs and organizations)
Ability to excel in a variety of roles
Professional and effective written and verbal communication skills
Ability to work collaboratively in a team setting
Community service, volunteer experience
Self-driven, motivated, and proactive
Travel Requirements

Not required
Relocation Assistance Provided (as applicable)
No
Represented/Union Position
No
Visa Sponsored Position
No

Posting Expiration Date

Tuesday, March 24, 2020

All job postings expire at 12:01 AM on the posting expiration date.

Please note that in order to be considered for this position, you must possess all of the basic/required qualifications.",3.6,"Duke Energy
3.6","Charlotte, NC","Charlotte, NC",10000+ employees,1917,Company - Public,Energy,"Oil, Gas, Energy & Utilities",$10+ billion (USD),-1
4,Media Operations Specialist,-1,"ConsumerTrack™ is unique in the digital marketing and media industry - we combine marketing, digital, content and fintech. Our performance based approach increases brand awareness and generates targeted audience engagement on our internal web properties and partner sites.

Learn More About What We Do

ConsumerTrack is looking for a Media Operations Specialist to manage inventory and maximize client budget fulfillment through ad performance and efficient campaign trafficking for owned and operated (O&O) properties and partner placements. This role will work with the publisher team and media team to manage publisher relationships, supporting through publisher onboarding, inventory management, and campaign performance.

Responsibilities:
Media launch & lifecycle - support publisher team on day-to-day maintenance (offer changes due to budgets/quality), media reports, recaps, compliance, invoicing
Tracking the publishers supply/inventory (ad impressions) while assuring highest possible fill rates
Inventory management (creative placements on owned and operated and network)
Budget fulfillment management (publisher budget allocations)
Product performance optimization (offer row position and qualifier page)
Maintain records in Salesforce to ensure publisher shared and campaigns reflect the most accurate and up-to-date information.
Building ad hoc reports for vendors
Coordinate with yield analyst and ad ops for any campaign changes (pricing/budget updates, compliance updates, etc)
Administrative ticketing (ie. rate updates, campaign pauses, budget updates, etc.)
Requirements
2+ years’ experience in a yield optimization, inventory management, sales operations, or product management role. Digital experience is a MUST
Proven business sense and problem solving, critical thinking, project management, and analytical skills
Ability to answer client questions and prepare recommendations that proactively address any concerns
In-depth knowledge of digital advertising sales
Ability to initiate and drive projects to completion with minimal guidance
Excellent written, verbal, and interpersonal skills
Comfortable dealing with changing environments and making decisions for the team
Able to work independently as well as collaboratively within a team environment, handling multiple projects, and meeting tight deadlines under pressure
Benefits
Competitive salary with excellent growth opportunity; we pride ourselves in having a team that exudes leadership, high initiative, creativity and passion.
Awesome medical, dental and vision plans with heavy employer contribution
Paid maternity leave and paternity leave programs
Complimentary gym membership (located 0.2 miles from office!)
Paid vacation, holidays, and sick days
Flexible time/work from home (for eligible employees)
Company funding for outside classes and conferences to help you improve your skills
Contribution to student loan debt payments after the first year of employment
401(k) -- employees can start contributing immediately. After the first year, CTI contributes 100% of the first 4% contributed of salary deferrals
Fully stocked kitchen with snacks and beverages.
We are an equal-opportunity employer, and all qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status, or any other characteristic protected by law.",3.1,"ConsumerTrack
3.1","Charlotte, NC","El Segundo, CA",51 to 200 employees,2004,Company - Private,Advertising & Marketing,Business Services,$25 to $50 million (USD),-1
5,Senior Media Planner / Media Supervisor,-1,"Four-year degree is required.
Minimum 4 years agency/digital media planning experience required.
Strong Excel and PowerPoint skills required
You must be eligible to work in the United States to be considered for this role.

This contractor and subcontractor shall abide by the requirements of 41 CFR ?? 60-1.4(a), 60-300.5(a) and 60-741.5(a). These regulations prohibit discrimination against qualified individuals based on their status as protected veterans or individuals with disabilities, and prohibit discrimination against all individuals based on their race, color, religion, sex, or national origin. Moreover, these regulations require that covered prime contractors and subcontractors take affirmative action to employ and advance in employment individuals without regard to race, color, religion, sex, national origin, protected veteran status or disability.

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/eeopost.pdf

https://www.dol.gov/ofccp/regs/compliance/posters/pdf/OFCCP_EEO_Supplement_Final_JRF_QA_508c.pdf
We are looking for a Senior Media Planner or Media Supervisor to join our Winston-Salem Mediahub team.

Mediahub is one the hottest and fastest growing media shops in the U.S. and was just named Ad Age's 2019 Media Agency of the Year. This is coming off the heels of being named a leader in Forrester's first ever wave of major media shops and in 2018 we were Adweek's U.S. Media Agency of the Year.

The person in this role will be required to maintain a strong knowledge of your clients' business to deliver against their needs and objectives.

The Media Planner will be the day-to-day steward for an assigned client(s), including accurate budget flow and control of media activity. The person in this role will be required to maintain a strong knowledge of the clients' business to deliver against their needs and objectives.

Responsibilities include, but are not limited to:
Display a mastery of media fundamentals.
Supervise, mentor and grow Assistant Planners reporting to this person.
Gather and analyze appropriate research to provide sound and strategic consumer insight driven media recommendations.
Show a keen interest in and knowledge of emerging trends across the media landscape.
Ensure proper planning and execution of media plans by monitoring buys/schedules.
Demonstrate proficiency with industry systems/tools (Kantar, comScore, etc).
Build trustworthy relationships internally, with agency partners and with clients and appropriately respond to client needs.",3.1,"Mullen
3.1",North Carolina,"Boston, MA",501 to 1000 employees,1970,Subsidiary or Business Segment,Advertising & Marketing,Business Services,$50 to $100 million (USD),"Droga5, Arnold"
6,"Digital Strategist, Paid Media",-1,"Overview

We're looking for a Digital Strategist, Paid Media expert to join our ranks. An individual deeply ingrained in digital and social media culture, and who understands the dynamics of online and off-line community-building. This individual will play a crucial supportive role at Ketchum, helping clients reach and engage with enthusiast communities; playing an active role in business development; helping develop and evangelize a company-wide perspective on the use of emerging media. In other words, the ideal candidate is someone who thrives on working in a highly visible, brain-bending, massively multitasking capacity at the cutting edge where communications and technology come together.

The Digital Strategist, Paid Media expert will serve as a supporting strategist and network educator across Ketchum and Ketchum Digital on current and emerging paid media platforms and 360 advertising options. This position will also maintain and grow relationships between advertising platforms and Ketchum owned digital paid media agency partners. This position works across our Global network in one of the most critical, fastest growing areas of one of our most exciting teams.

About the Job

Paid Media Integration
Assist Paid team leadership in driving development and execution of paid digital media strategies
Assist senior digital strategy / account teams with the integration and measurement of paid media into Ketchum new and existing client programs
Foster platform relationships with paid vendors including but not limited to: Facebook, Instagram, Pinterest, Snapchat, Twitter, Taboola, Outbrain, LinkedIn, Google, YouTube, and many more digital partners
Perform media planning, media campaign execution, media budget management, monitoring, and measurement/reporting
Establish relationships across the network to streamline paid media efforts and facilitate network-wide paid media trainings: capabilities, best practice, case studies, etc.
Participate in online certifications and professional development of teams
Digital Strategy and Business Development
Demonstrate professional experience in emerging media, with a clear understanding how to apply tools and technology to infuse innovative digital and social strategies into new and existing work
Continually grow understanding and knowledge of client business and their competitive environment; apply this information in preparing and presenting focused programs and recommendations
Assist in education of internal peers and external clients on paid media and digital trends
Identify and assist in building new service offerings in relation to paid media
Build and present concepts and programs, both for clients and for new business proposals and opportunities
Monitor paid media plans and budgets for profitability; report status to client and agency management on a regular basis
Qualifications
Minimum of 2-4 years professional interactive work experience; agency or client-side experience
Bachelor's degree with a concentration in marketing/business/PR/Communications or related field preferred
Experience generating brand/client awareness through existing and emerging social media and online communities and platforms
Experience running paid advertising campaigns on social media (Facebook, Instagram, Twitter, LinkedIn, Pinterest), native advertising and sponsored content, programmatic, video distribution, Google and YouTube ads, and more
Successful track record of building and presenting strategic paid media programs, recommendations and tactics for clients and effectively executing programs
Solid grasp of social, digital, influencer, word-of-mouth marketing, personal and professional experience across the digital and social space, and knowledge of emerging trends and technologies
Strong understanding of community engagement and online campaign experience
Ability to translate paid media platforms, technologies and metrics into succinct, compelling, conversational language for a variety of audiences
An individual who thrives in a fast-paced, dynamic environment, working effectively with colleagues and clients across organizations and geographies
IND13

#LI-ML1

About Ketchum

As a global communications consultancy with 90 plus years of experience, Ketchum is a trusted partner who is equal parts creative and analytical. Ketchum is a place where all perspectives and points of view are welcome and encouraged. We are a collection of communications specialists, content creators, creatives, researchers, data analysts, media pros, digital strategists, issues and crisis counselors, and tech nerds. And we love when those worlds collide to create the very best teams and solutions for our clients. We work with the world's leading brands, emerging start-ups, and everything in between. We are beyond proud to have created some of the most celebrated and award-winning campaigns in our industry. We're just crazy enough to think we can impact the world and how it responds to ideas through communication.

We encourage our employees to be curious, brave, inspiring, and a force for good. Let's talk. Come belong at Ketchum!

What we offer
Robust benefits program
Generous time off policies
Retirement program with company match
Workplace flexibility
Business casual dress code
Workplace and off-site social gatherings
Yoga @ work
Professional learning and development opportunities
Tuition reimbursement
Paid maternity/paternity leave
Transit benefits
Interested? We've got an opportunity for you.

SDL2017",3.6,"Ketchum, Inc.
3.6","Raleigh, NC","New York, NY",1001 to 5000 employees,1923,Subsidiary or Business Segment,Advertising & Marketing,Business Services,Unknown / Non-Applicable,-1
